title,category,description,location,price
Event 1,Tech,Enjoy performances and talks.,Chicago,138.45
Event 2,Art,Enjoy performances and talks.,Seattle,110.31
Event 3,Health,Enjoy performances and talks.,Phoenix,120.07
Event 4,Music,Discover the best in town.,New York,193.42
Event 5,Art,Interactive and engaging sessions.,Houston,50.02
Event 6,Tech,Join us for fun and learning.,New York,108.69
Event 7,Education,Enjoy performances and talks.,New York,100.47
Event 8,Food,An unforgettable experience.,Los Angeles,25.77
Event 9,Music,Enjoy performances and talks.,Houston,126.02
Event 10,Tech,Join us for fun and learning.,New York,18.87
Event 11,Tech,An unforgettable experience.,Chicago,80.19
Event 12,Tech,Join us for fun and learning.,Chicago,32.92
Event 13,Tech,Interactive and engaging sessions.,Chicago,174.94
Event 14,Education,Interactive and engaging sessions.,New York,131.13
Event 15,Music,Enjoy performances and talks.,Seattle,187.49
Event 16,Tech,A great place to meet and connect.,New York,190.94
Event 17,Food,An unforgettable experience.,Miami,78.07
Event 18,Tech,Enjoy performances and talks.,Seattle,46.58
Event 19,Food,Interactive and engaging sessions.,Los Angeles,120.9
Event 20,Business,Enjoy performances and talks.,Houston,55.07
Event 21,Food,Discover the best in town.,Phoenix,68.78
Event 22,Music,An amazing event to explore new ideas.,New York,52.81
Event 23,Business,Interactive and engaging sessions.,Phoenix,160.92
Event 24,Art,Join us for fun and learning.,Phoenix,42.7
Event 25,Art,Join us for fun and learning.,Chicago,163.53
Event 26,Business,Join us for fun and learning.,Miami,85.59
Event 27,Tech,Enjoy performances and talks.,Miami,24.14
Event 28,Tech,Enjoy performances and talks.,Seattle,40.94
Event 29,Music,Interactive and engaging sessions.,Phoenix,8.47
Event 30,Music,Discover the best in town.,Phoenix,10.39
Event 31,Education,Join us for fun and learning.,Phoenix,46.0
Event 32,Food,Enjoy performances and talks.,Phoenix,13.55
Event 33,Food,Interactive and engaging sessions.,Los Angeles,144.88
Event 34,Tech,Interactive and engaging sessions.,Miami,33.27
Event 35,Art,An unforgettable experience.,New York,44.01
Event 36,Business,An unforgettable experience.,Phoenix,128.84
Event 37,Education,Join us for fun and learning.,Houston,157.61
Event 38,Health,An unforgettable experience.,Los Angeles,172.2
Event 39,Art,Discover the best in town.,Miami,53.09
Event 40,Music,An unforgettable experience.,Los Angeles,76.68
Event 41,Health,An amazing event to explore new ideas.,New York,41.22
Event 42,Business,Interactive and engaging sessions.,Houston,113.54
Event 43,Music,An unforgettable experience.,Seattle,83.58
Event 44,Art,Interactive and engaging sessions.,Houston,26.76
Event 45,Art,Join us for fun and learning.,New York,158.18
Event 46,Music,An amazing event to explore new ideas.,New York,97.91
Event 47,Health,An unforgettable experience.,New York,4.41
Event 48,Health,Enjoy performances and talks.,Houston,46.71
Event 49,Music,Enjoy performances and talks.,Seattle,146.24
Event 50,Tech,Enjoy performances and talks.,Seattle,194.85
Event 51,Business,Discover the best in town.,Houston,172.22
Event 52,Education,An amazing event to explore new ideas.,Seattle,125.42
